,start,stop,AUC,fpr,tpr,support,cm,fold,# support,condition,cm_,tnr,fnr
7,250,300,0.6,1.0,0.8,"[ 0  6  7 13 15 20 29 31 32 33 34 35 37 38 40 43  9 14 17 18 19 22 23 25
 27 30 39 41 42]","[[0 5]
 [1 4]]",2,29,shuffle0,"[[0.  1. ]
 [0.2 0.8]]",0.0,0.2
8,250,300,0.48000000000000004,0.8,0.6,"[ 0  1  8  9 11 12 18 20 22 34 37 38 39 40 42 43  3  4  6 13 21 24 26 27
 28 29 32 33 35 36]","[[1 4]
 [2 3]]",3,30,shuffle0,"[[0.2 0.8]
 [0.4 0.6]]",0.2,0.4
9,250,300,0.0,1.0,1.0,"[ 0  3  4  5 10 11 12 27 30 31 32 33 36 37 38 40 43  1  9 14 15 16 17 20
 21 23 25 28 29 39 41 42]","[[5 0]
 [0 5]]",4,32,shuffle0,"[[1. 0.]
 [0. 1.]]",1.0,0.0
10,300,350,0.5277777777777778,0.5,0.6666666666666666,"[ 0  1  8 11 12 17 19 22 30 32 33 34 35 36 38 41  3  4  6 13 15 21 24 25
 27 28 29 39 40]","[[3 3]
 [2 4]]",0,29,shuffle0,"[[0.5        0.5       ]
 [0.33333333 0.66666667]]",0.5,0.3333333333333333
11,300,350,0.5,0.3333333333333333,0.3333333333333333,"[ 0  1  2  7  9 10 12 17 18 20 24 31 32 34 35 36 38  4 11 13 14 21 23 26
 27 28 39 40]","[[4 2]
 [4 2]]",1,28,shuffle0,"[[0.66666667 0.33333333]
 [0.66666667 0.33333333]]",0.6666666666666666,0.6666666666666666
12,300,350,0.16000000000000003,1.0,0.6,"[ 0  1  6  7 10 13 15 24 29 31 32 33 34 35 38 40 43  2  4  5  9 14 17 18
 19 22 23 28 30 41 42]","[[0 5]
 [2 3]]",2,31,shuffle0,"[[0.  1. ]
 [0.4 0.6]]",0.0,0.4
13,300,350,0.5599999999999999,0.8,0.8,"[ 0  8 11 12 14 20 22 23 34 37 38 39 40 42 43  3  4  6 13 16 24 25 26 27
 28 29 32 33 35]","[[1 4]
 [1 4]]",3,29,shuffle0,"[[0.2 0.8]
 [0.2 0.8]]",0.2,0.2
14,300,350,0.039999999999999994,1.0,1.0,"[ 0  3  4  5  6 11 12 18 22 27 30 31 32 34 36 37 38 40  2  7  8  9 14 16
 17 20 21 26 28 29 41 42]","[[5 0]
 [2 3]]",4,32,shuffle0,"[[1.  0. ]
 [0.4 0.6]]",1.0,0.4
0,200,250,0.6111111111111112,0.8333333333333334,0.6666666666666666,"[ 3  8  9 10 11 17 18 21 22 27 30 33 34 35 37 41  1  4  5  6 13 14 15 16
 20 23 26 29 31 32 36 38 40]","[[1 5]
 [2 4]]",0,33,shuffle1,"[[0.16666667 0.83333333]
 [0.33333333 0.66666667]]",0.16666666666666666,0.3333333333333333
1,200,250,0.7777777777777779,0.6666666666666666,0.16666666666666666,"[ 2  3  7  8  9 10 16 17 18 20 23 24 31 32 33 34 37 41  4 11 12 13 14 19
 21 22 25 27 28 30 35 36 38 39 40]","[[2 4]
 [5 1]]",1,35,shuffle1,"[[0.33333333 0.66666667]
 [0.83333333 0.16666667]]",0.3333333333333333,0.8333333333333334
2,200,250,0.64,0.4,0.2,"[ 0  1  6  7  8 12 14 18 19 20 22 25 29 30 33 35 36 37 43  2  3  4  9 10
 11 15 16 17 21 23 24 27 31 32 34 38 40 41]","[[3 2]
 [4 1]]",2,38,shuffle1,"[[0.6 0.4]
 [0.8 0.2]]",0.6,0.8
3,200,250,0.8800000000000001,0.8,0.0,"[ 2  3  8  9 10 11 18 19 20 22 26 27 28 31 33 34 39 40 41  1  4  5  6 13
 14 15 16 17 21 29 36 38 42]","[[1 4]
 [5 0]]",3,33,shuffle1,"[[0.2 0.8]
 [1.  0. ]]",0.2,1.0
